dataset,sentence_id,Original Sentence,sentence_has_specialized_terms,sentence_contains_named_entity
wikiDE,20,"An der Schweizer Meisterschaft wird jeweils auch bekannt gegeben, wer die Schweiz an den Weltmeisterschaften vertreten darf.",FALSE,TRUE
wikiDE,21,Die Premiere der deutschen Produktion mit Vishka Asayesh in der Hauptrolle als iranische Menschenrechtsaktivistin auf Freigang ist im September 2024 beim Toronto International Film Festival geplant.,FALSE,TRUE
wikiDE,22,"Als der inhaftierten iranischen Menschenrechtsaktivistin Maryam aus medizinischen Gründen ein siebentägiger Ausgang gewährt wird, hat sie die Chance, gemeinsam mit ihrer Familie aus dem Iran zu fliehen.",FALSE,TRUE
wikiDE,23,"Der ebenfalls in Teheran geborenene Majid Bakhtiari, zuletzt in Filmen wie Morgen sind wir frei von Hossein Pourseifi und Rheingold von Fatih Akin zu sehen, spielt Behnam.",FALSE,TRUE
wikiDE,24,Die Gumer kamen durch zwei Handelsunternehmen zu Reichtum und Wohlstand und zählten über Jahrhunderte zu den wirtschaftlich und politisch einflussreichsten Familien der Stadt.,FALSE,TRUE
wikiDE,25,Durch Einheirat waren die Gumer mit anderen altansässigen Bozner Kaufmannsfamilien versippt und verschwägert.,TRUE,TRUE
wikiDE,26,In Folge des Firmenkonkurses von 1799 und 1817 büßten die Gumer zum größten Teil ihr Vermögen und Liegenschaften ein.,TRUE,FALSE
wikiDE,27,"Nach dem Bankrott des Handelshauses von Franz von Gumer 1799 und der Zahlungsunfähigkeit von Joseph und Philipp von Gumer 1817 verlor die Familie größtenteils ihr Vermögen und Güter, darunter auch den Landsitz der Gumer, das später sogenannte Toggenburghaus im Weiler Maria Himmelfahrt am Ritten, welches 1818 der Gumer’schen Nichte Annette von Menz aus der Konkursmasse zufiel.",FALSE,TRUE
wikiDE,28,Nach der österreichischen Rückeroberung Tirols zog er sich 1814 nach Italien zurück und starb in Trient als Gubernialrat.,TRUE,TRUE
wikiDE,29,"Am 9. August 2024 stürzte das Flugzeug, eine ATR 72-500, etwa 90 Minuten nach seinem Start in Vinhedo nordwestlich von São Paulo ab.",FALSE,TRUE
wikiDE,30,Im März 2024 wurde das Flugzeug durch einen Tailstrike beschädigt und kam nach Reparaturarbeiten erst am 9. Juli wieder zum regulären Einsatz.,TRUE,TRUE
wikiDE,31,Das Flugzeug war laut VoePass „ohne betriebliche Einschränkungen gestartet und alle Systeme waren für den Flug bereit“.,TRUE,TRUE
wikiDE,32,"Die im Februar 2011 in den Systems Two Studios, Brooklyn, entstandenen Aufnahmen erschienen 2011 auf dem Label Grizzley Music.",FALSE,TRUE
wikiDE,33,"Das Album entstand als Tribut an den 2011 verstorbenen Schlagzeuger, Bandleader und Komponisten Paul Motian.",TRUE,TRUE
wikiDE,34,"Dieses Projekt wurde bereits vor Motians Tod konzipiert und brauchte mehrere Jahre, um Gestalt anzunehmen.",FALSE,TRUE
wikiDE,35,"Einheits-Schnellzugwagen Bauart 28 sind eine Serie von Schnellzugwagen, die von der Deutschen Reichsbahn-Gesellschaft ab 1928 in mehreren Serien nach einheitlichen Zeichnungen (Austauschbauart) beschafft wurden.",TRUE,TRUE
wikiDE,36,"Von der Vorläuferbauart wurde auch die Länge über Puffer von 21,72 Metern übernommen, was gegenüber den Anfang der zwanziger Jahre beschafften Fahrzeugen die Vergrößerung der Abteile ermöglichte, teilweise wurde aber auch die Abteilanzahl leicht erhöht.",TRUE,FALSE
wikiDE,37,"Die für den Fährverkehr nach Schweden und Dänemark vorgesehenen Wagen erhielten Drehgestelle amerikanischer Bauart, Trossenösen an den Langträgern und Scheuerleisten mit Ösen auf dem Dach.",TRUE,TRUE
wikiDE,38,Die Gepäckwagen der Bauarten Pw4ü-28 und Pw4ü-29 unterschieden sich grundsätzlich nur durch die verbesserte Beleuchtung der neueren Wagen.,TRUE,TRUE
wikiDE,39,"Internationale Aufmerksamkeit erhielt die Gasse, als im August 2024 die drei Wiener Konzerte der US-amerikanischen Musikerin Taylor Swift im Rahmen ihrer The Eras Tour aufgrund eines geplanten terroristischen Anschlags abgesagt wurden.",FALSE,TRUE
wikiDE,40,"Alle Gebäude der Corneliusgasse (bis auf Haus Nr. 6) befindet sich in einer baulichen Schutzzone, die von der Stadt Wien definiert wurde. ",FALSE,TRUE
wikiDE,41,"Viele Fans suchten nach der Absage, etwa um Trost zu finden, die Corneliusgasse auf, da Taylor Swift in ihrem 2019 veröffentlichten Album „Lover“ einen Song mit dem Titel „Cornelia Street“ veröffentlichte.",FALSE,TRUE
wikiDE,42,"Die Unruhen im Vereinigten Königreich 2024 sind eine Serie gewalttätiger Ausschreitungen im Vereinigten Königreich, die nach der Messerattacke in Southport begannen und sich innerhalb von Tagen auf Städte in England und Nordirland ausweiteten.",FALSE,TRUE
wikiDE,43,"Ebenso beteiligte er sich an der Verbreitung von Inhalten, die zu einer Spaltung der britischen Gesellschaft beitragen könnten.",FALSE,TRUE
wikiDE,44,"Am 31. Juli 2024 kam es bei einer Demonstration unter dem Motto „Enough is enough“ („Genug ist genug“) nahe der Londoner Downing Street, dem Amtssitz des Premierministers, zu gewaltsamen Ausschreitungen zwischen Rechtsradikalen und der Polizei, bei denen über 100 Demonstranten vorübergehend festgenommen wurden.",FALSE,TRUE
wikiDE,45,Alleine am 3. August 2024 wurden landesweit 147 Personen wegen der Beteiligung an Ausschreitungen festgenommen.,FALSE,FALSE
wikiDE,46,Diese Stadt hatte durch den Niedergang des Kohlenabbaus und der Schiffbauindustrie zwischen 1975 und 1989 ein Viertel ihrer Arbeitsplätze verloren.,FALSE,TRUE
wikiDE,47,"Am Tag nach den gewalttätigen Ausbrüchen versammelten sich Einwohner, um die Spuren zu beseitigen; wieder einen Tag später fand ein kleiner Friedensmarsch statt.",FALSE,FALSE
wikiDE,48,"Der Tag wurde als Wendepunkt in der Entwicklung der Unruhen angesehen, jedoch noch nicht als das Ende dieser Vorkommnisse, zumal der relativ friedliche Verlauf dieses Tages möglicherweise hauptsächlich der Abschreckung durch die hohe Polizeipräsenz und durch die ersten Gefängnisstrafen, die für Gewalttäter verhängt worden waren, zu verdanken war.",FALSE,TRUE
wikiDE,49,"Auch in Bristol, das einige Tage zuvor Schauplatz gewalttätiger Aktionen gewesen war, fand am 7. August 2024 eine Gegendemonstration statt.",FALSE,TRUE
wikiDE,50,"Als Reaktion auf die anhaltenden Unruhen veröffentlichten am 5. August mehrere Länder, darunter Australien, Nigeria und Indonesien, Reisewarnungen für das Vereinigte Königreich.",FALSE,TRUE
